timestamp,miner_name,miner_ip,hashrate_gh,hashrate_th,power_w,efficiency_jth,temperature_c,vr_temperature_c,fan_speed_rpm,voltage_v,input_voltage_v,frequency_mhz,best_diff,session_diff,accepted_shares,rejected_shares,uptime_s,wifi_rssi,pool_url,worker_name,asic_model,board_version,firmware_version,status
2025-05-29T19:39:56.886030,Gamma-2,192.168.1.46,1413.6428931244518,1.4136428931244518,20.5926513671875,14.567081592772949,59.75,58,3805,1.129,5.0546875,610,0,0,219,0,690,-71,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:39:56.889029,Gamma-3,192.168.1.47,1504.0601396078268,1.5040601396078268,18.42333984375,12.24907126955293,60.125,53,2505,1.136,5.109375,610,0,0,203,0,639,-59,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:40:57.071005,Gamma-1,192.168.1.45,1560.2472457845624,1.5602472457845624,20.727294921875,13.284622022487458,59.875,59,3402,1.132,4.890625,610,0,0,239,0,806,-44,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:40:57.072006,Gamma-2,192.168.1.46,1181.267885346459,1.181267885346459,20.6646728515625,17.49363807135218,59.75,58,3651,1.126,5.0546875,610,0,0,231,0,751,-71,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:40:57.073007,Gamma-3,192.168.1.47,1498.802770635492,1.4988027706354918,18.38720703125,12.26792970462273,59.875,53,2496,1.133,5.109375,610,0,0,230,0,699,-56,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:41:57.226832,Gamma-1,192.168.1.45,1292.772735756233,1.292772735756233,20.6551513671875,15.977403294404146,60.375,59,3490,1.136,4.8984375,610,0,0,254,0,867,-44,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:41:57.227831,Gamma-2,192.168.1.46,1029.5362168424263,1.0295362168424262,20.628662109375,20.036849381212473,59.875,58,3805,1.129,5.0546875,610,0,0,248,0,811,-71,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:41:57.228834,Gamma-3,192.168.1.47,1315.97658409144,1.31597658409144,18.38720703125,13.972290429426346,60.25,53,2592,1.133,5.109375,610,0,0,244,0,759,-56,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:42:57.459171,Gamma-1,192.168.1.45,1209.203065484196,1.209203065484196,20.61907958984375,17.051792356801,59.875,59,3394,1.134,4.8984375,610,0,0,260,0,927,-44,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:42:57.460171,Gamma-2,192.168.1.46,1248.760936683626,1.2487609366836259,20.5926513671875,16.490467280211423,59.875,58,3651,1.127,5.0546875,610,0,0,255,0,871,-71,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:42:57.461171,Gamma-3,192.168.1.47,1603.2538061126393,1.6032538061126393,18.38720703125,11.468681353598592,59.875,53,2529,1.134,5.109375,610,0,0,270,0,820,-56,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:43:57.690246,Gamma-1,192.168.1.45,1262.2481368410613,1.2622481368410612,20.69122314453125,16.392357842027565,60.375,59,3527,1.132,4.8984375,610,0,0,284,0,987,-44,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:43:57.691247,Gamma-2,192.168.1.46,1400.6578357026312,1.4006578357026311,20.6646728515625,14.75354817202461,60,58,3691,1.13,5.0546875,610,0,0,274,0,931,-73,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:43:57.692245,Gamma-3,192.168.1.47,1284.384388615246,1.284384388615246,18.38720703125,14.315968953090511,60,53,2607,1.131,5.109375,610,0,0,285,0,880,-57,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:44:58.112041,Gamma-1,192.168.1.45,1399.6814876006335,1.3996814876006336,20.33050537109375,14.525094138341982,56.25,57,2206,1.136,4.9375,620,0,0,3,0,25,-43,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:44:58.113040,Gamma-2,192.168.1.46,1465.7769710238729,1.4657769710238728,20.6646728515625,14.098101730393429,60.125,58,3661,1.129,5.0546875,610,0,0,293,0,992,-74,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:44:58.114548,Gamma-3,192.168.1.47,1188.2134286603082,1.188213428660308,18.38720703125,15.474666913991442,59.875,53,2582,1.133,5.1015625,610,0,0,305,0,940,-54,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:45:58.609946,Gamma-1,192.168.1.45,1170.4835618333136,1.1704835618333136,20.83551025390625,17.800771350664554,60.75,58,3411,1.129,4.9140625,620,0,0,11,0,85,-44,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:45:58.610953,Gamma-2,192.168.1.46,763.7270428655763,0.7637270428655764,20.46661376953125,26.79833582000524,57.75,56,2455,1.129,5.0625,620,0,0,2,0,29,-40,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:45:58.612952,Gamma-3,192.168.1.47,1310.2671179717167,1.3102671179717167,18.42333984375,14.060751117885937,60,53,2607,1.131,5.109375,610,0,0,326,0,1001,-55,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:46:58.904324,Gamma-1,192.168.1.45,1133.532134806169,1.133532134806169,20.925689697265625,18.460605619128618,60.5,59,3394,1.136,4.8984375,620,0,0,28,0,145,-44,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:46:58.905322,Gamma-2,192.168.1.46,1235.8239015618158,1.2358239015618158,20.916748046875,16.925346742720162,60.875,58,3742,1.126,5.0546875,620,0,0,22,0,90,-40,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:46:58.906322,Gamma-3,192.168.1.47,1539.5156908639838,1.5395156908639838,18.224609375,11.83788478620329,57,52,2171,1.133,5.109375,620,0,0,5,0,38,-56,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:47:59.396704,Gamma-1,192.168.1.45,1180.2519019901442,1.1802519019901443,20.889617919921875,17.699287656048458,60.125,59,3368,1.129,4.875,620,0,0,51,0,206,-44,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:47:59.397706,Gamma-2,192.168.1.46,1477.0790898014159,1.477079089801416,20.772705078125,14.06336683089716,60.125,58,3583,1.129,5.0625,620,0,0,46,0,150,-40,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:47:59.398706,Gamma-3,192.168.1.47,1258.0409597759387,1.2580409597759388,18.60400390625,14.78807487282722,60,53,2627,1.133,5.1015625,620,0,0,19,0,99,-55,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
